"Timestamp","What is your sex?/ ما هو جنسك؟","How many years of experience do you have?/ سنوات الخبرة","What is your qualification degree?/ ما هو مؤهلك العلمي؟","What is your Specialization ?/ ما هو التخصص الدراسي؟","What is your job title?/ ما هو مسماك الوظيفي؟","IT Team Size/ عدد أفراد فريق العمل","What sector do you work in?/ ما هو القطاع الذي تعمل فيه؟","How do you self-rate your security knowledge? /تقيمك الذاتي لمعرفتك بأمن البرمجيات","How often do you engage in the following activities? كم مرة تشارك في الأنشطة التالية؟  تعريفات المصطلحات في الرابط التالي https://docs.google.com/document/d/1BiT5Q5E4b8kUb9o3MGp3H3VpUfd_W8ylzUV-iq5JYe8/edit?usp=sharing [Apply Software Requirements (abuse cases).]","How often do you engage in the following activities? كم مرة تشارك في الأنشطة التالية؟  تعريفات المصطلحات في الرابط التالي https://docs.google.com/document/d/1BiT5Q5E4b8kUb9o3MGp3H3VpUfd_W8ylzUV-iq5JYe8/edit?usp=sharing [Apply Data Classification Scheme]","How often do you engage in the following activities? كم مرة تشارك في الأنشطة التالية؟  تعريفات المصطلحات في الرابط التالي https://docs.google.com/document/d/1BiT5Q5E4b8kUb9o3MGp3H3VpUfd_W8ylzUV-iq5JYe8/edit?usp=sharing [Apply Threat Modeling]","How often do you engage in the following activities? كم مرة تشارك في الأنشطة التالية؟  تعريفات المصطلحات في الرابط التالي https://docs.google.com/document/d/1BiT5Q5E4b8kUb9o3MGp3H3VpUfd_W8ylzUV-iq5JYe8/edit?usp=sharing [Document Technical Stack]","How often do you engage in the following activities? كم مرة تشارك في الأنشطة التالية؟  تعريفات المصطلحات في الرابط التالي https://docs.google.com/document/d/1BiT5Q5E4b8kUb9o3MGp3H3VpUfd_W8ylzUV-iq5JYe8/edit?usp=sharing [Apply Secure Coding Standards]","How often do you engage in the following activities? كم مرة تشارك في الأنشطة التالية؟  تعريفات المصطلحات في الرابط التالي https://docs.google.com/document/d/1BiT5Q5E4b8kUb9o3MGp3H3VpUfd_W8ylzUV-iq5JYe8/edit?usp=sharing [Perform Security Testing]","How often do you engage in the following activities? كم مرة تشارك في الأنشطة التالية؟  تعريفات المصطلحات في الرابط التالي https://docs.google.com/document/d/1BiT5Q5E4b8kUb9o3MGp3H3VpUfd_W8ylzUV-iq5JYe8/edit?usp=sharing [Perform Penetration Testing]","How often do you engage in the following activities? كم مرة تشارك في الأنشطة التالية؟  تعريفات المصطلحات في الرابط التالي https://docs.google.com/document/d/1BiT5Q5E4b8kUb9o3MGp3H3VpUfd_W8ylzUV-iq5JYe8/edit?usp=sharing [Perform Security Review]","How often do you engage in the following activities? كم مرة تشارك في الأنشطة التالية؟  تعريفات المصطلحات في الرابط التالي https://docs.google.com/document/d/1BiT5Q5E4b8kUb9o3MGp3H3VpUfd_W8ylzUV-iq5JYe8/edit?usp=sharing [Publish Operations Guide]","How often do you engage in the following activities? كم مرة تشارك في الأنشطة التالية؟  تعريفات المصطلحات في الرابط التالي https://docs.google.com/document/d/1BiT5Q5E4b8kUb9o3MGp3H3VpUfd_W8ylzUV-iq5JYe8/edit?usp=sharing [Track Vulnerabilities]","How often do you engage in the following activities? كم مرة تشارك في الأنشطة التالية؟  تعريفات المصطلحات في الرابط التالي https://docs.google.com/document/d/1BiT5Q5E4b8kUb9o3MGp3H3VpUfd_W8ylzUV-iq5JYe8/edit?usp=sharing [Improve Development Process]","How often do you engage in the following activities? كم مرة تشارك في الأنشطة التالية؟  تعريفات المصطلحات في الرابط التالي https://docs.google.com/document/d/1BiT5Q5E4b8kUb9o3MGp3H3VpUfd_W8ylzUV-iq5JYe8/edit?usp=sharing [Perform Security Training]","What is the software development methodology used in your current project? ما هي منهجية تطوير البرمجيات المستخدمة في مشروعك الحالي؟ ","What type of development do you do? ما هو نوع التطوير الذي تقوم به؟","What are your main priorities when doing development? ما هي أولوياتك الرئيسية عند القيام بالتطوير؟ ","Do your priorities change when a deadline approaches? هل تتغير أولوياتك عندما يقترب الموعد النهائي؟","How does security fit in your priorities? كيف يتناسب أمن البرمجيات مع أولوياتك؟","Do you apply Security Tooling? If yes, What tools do you use? and in which SDLC phase? هل تطبق أدوات الأمن؟ إذا كانت الإجابة بنعم ، فما هي الأدوات التي تستخدمها؟ وفي أي مرحلة من مراحل تطوير البرمجيات؟"
"2021/03/31 10:17:59 pm GMT+3","Female","3.5 y","Master","Software engineering","Junior developer ","Not working now","Private Sector القطاع الخاض","1","Not Applicable.","Not Applicable.","Not Applicable.","Not Applicable.","Once in the Project","Once in the Project","Not Applicable.","Once in the Project","Once in the Project","Once in the Project","Once in the Project","Not Applicable.","Agile","Web Development","Quality ","No","Top priority ","No"
"2021/03/31 11:29:12 pm GMT+3","Female","3","Bachelor","Computer engineering","Programmer","5","Educational Organization المؤسسات التعليمية","1","Not Applicable.","Not Applicable.","Once in the Project","Not Applicable.","Once in the Project","Once in the Project","Once in the Project","Not Applicable.","Not Applicable.","Once in the Project","Not Applicable.","Not Applicable.","Agile","Web Development","Understand the gathered requirements and prioritize them","i try to deliver the most priority requirements and then work on the less priority","I always focus on making sure that the systems are opened to the right persons with the correct roles and authentications","No"
"2021/04/01 10:01:45 pm GMT+3","Female","6","Bachelor","Computer engineering","software developer","5","Private Sector القطاع الخاض","3","Daily","Weekly","Monthly","Once in the Project","Weekly","Monthly","Quarterly","Quarterly","Quarterly","Quarterly","Monthly","Monthly","Scrum","Application Development","task done correctly from all aspects","yes","where ever needed ","all stages"
"2021/04/01 10:03:43 pm GMT+3","Female","٨","Bachelor","Software engineering","Senior Software Engineer","3","Private Sector القطاع الخاض","2","Not Applicable.","Not Applicable.","Not Applicable.","Not Applicable.","Not Applicable.","Not Applicable.","Not Applicable.","Not Applicable.","Not Applicable.","Not Applicable.","Not Applicable.","Not Applicable.","Scrum","Web Development","To meet the requested functionality","No","It depends on the request ","Using https in servers communicatios and encrypting private data"
"2021/04/01 10:15:15 pm GMT+3","Female","6","Bachelor","Software engineering","Software Engineer ","4","Private Sector القطاع الخاض","3","Once in the Project","Quarterly","Not Applicable.","Once in the Project","Not Applicable.","Not Applicable.","Annually","Not Applicable.","Not Applicable.","Not Applicable.","Annually","Not Applicable.","Scrum","Web Development","Build functionalities Without bugs.","No","It is the last priority specially when a deadline approaches.","No"
"2021/04/01 10:29:35 pm GMT+3","Female","5","Master","Computer science","programmer","1","Public Sector القطاع الحكومي","3","Once in the Project","Monthly","Monthly","Once in the Project","Monthly","Monthly","Monthly","Weekly","Monthly","Monthly","Weekly","Weekly","Agile","Web Development;Web services","security, system performance, usability","No","for ensure that software continues to function and are safe from attacks","sql injections, data encryption, input fitters "
"2021/04/01 10:31:32 pm GMT+3","Female","10","Bachelor","Computer engineering","Sw team leader","7","Private Sector القطاع الخاض","3","Weekly","Not Applicable.","Quarterly","Quarterly","Quarterly","Weekly","Weekly","Quarterly","Once in the Project","Daily","Weekly","Not Applicable.","Agile","Automation testing ","Coverage  of all test cases , performance and security Testing","Yes ","As automation qa tester it’s important to check security of the applications we ha e ","Part of our testing is to check the security of the web and desktop applications we tested for example chexking that we have hashed passwords  "
"2021/04/01 11:16:16 pm GMT+3","Male","15","Master","Software engineering","Software engineer","10","Private Sector القطاع الخاض","4","Once in the Project","Not Applicable.","Once in the Project","Not Applicable.","Daily","Monthly","Quarterly","Once in the Project","Once in the Project","Monthly","Annually","Annually","Agile","Web Development;Application Development;Web services","Performance and scalability","Depends if there are more releases","Top priority","Using sonar integrated with CI to discover any volnerabilities in code."
"2021/04/01 11:19:28 pm GMT+3","Male","5","Bachelor","Computer engineering","devloper","3","Private Sector القطاع الخاض","5","Annually","Not Applicable.","Not Applicable.","Annually","Annually","Annually","Annually","Annually","Annually","Once in the Project","Annually","Annually","Agile","Application Development","Clean code and architicture","No","The most important thing","First stage"
"2021/04/01 11:22:44 pm GMT+3","Female","1 ","Bachelor","Computer science","Quality assurance engineer ","6","Private Sector القطاع الخاض","2","Not Applicable.","Not Applicable.","Not Applicable.","Monthly","Once in the Project","Not Applicable.","Not Applicable.","Not Applicable.","Not Applicable.","Not Applicable.","Once in the Project","Not Applicable.","Scrum","Web Development","كتابه كود شامل و مرتب و عليه documentation جيد لمساعده المبرمجين الاخرين","نعم تتغير","يجب ان تكون جميع البيانات مؤمنه ","No"
